title,rating,people_count,year
千年女优,8.8,314655,2001
战争之王,8.7,412114,2005
冰雪奇缘,8.5,816921,2013
萤火虫之墓,8.7,436800,1988
谍影重重2,8.7,396080,2004
蜘蛛侠：平行宇宙,8.6,750879,2018
攻壳机动队,9.0,214571,1995
血钻,8.7,419008,2006
魂断蓝桥,8.8,308305,1940
隐藏人物,8.9,267788,2016
房间,8.7,397835,2015
小姐,8.5,565460,2016
